ID_OG;ID;date_death;date_obs;long;lat;exact;sex;age;collision_certainty_score_NEW;GPS_certainty_score;Comment
Ccr_1184;;28/05/2005;20050528;35.03883;-2.85593;no;F;adult;1;0.75;5km south of Naabi hill on man road - suspect within Serengeti Npboundary
Z125;Hy_044;04/05/2006;20060504;34.9928;-2.8188;no;M;subadult;1;1;Naabi hill at bottom of hill by road on Seronera side
Z126;Hy_045;19/08/2006;20060819;34.71553;-2.30656;yes;F;adult;1;1;western corridor road past turn off to Seronera Lodge in open plain area further down WC road.
Z128;Hy_046;12/07/2006;20060712;34.778502;-2.235352;no;M;adult;1;0.25;towards Ikoma gate
Z129;Hy_047;23/08/2006;20060823;34.765209;-2.223289;no;F;adult;1;0.25;towards Ikoma. no coordinates collected by Christine. CDP
Z140;Hy_049;08/03/2011;20110308;34.83746;-2.34597;yes;F;cub;1;1;main road south of Banagi hill (Naabi gate ?)
Z141;Hy_050;20/04/2011;20110420;34.8107;-2.3997;no;F;adult;1;0.75;about 3.5 kn from northern dam on Seronera
Z142;Hy_051;17/09/2011;20110917;34.8611;-2.4393;no;F;cub;0.75;1;Tawiri staff village
Z146;Hy_052;19/02/2012;20120219;34.8599;-2.5616;no;F;subadult;1;0.25;near simba kopjes
Z143;Hy_053;12/03/2012;20120312;34.817;-2.4363;no;M;subadult;1;1;200m from crossroads Seronera junction on road to swrc
Z144;Hy_054;04/04/2012;20120404;34.97547;-2.5457;yes;F;adult;1;1;4km south of Boma Kopje. I range
Z147;Hy_055;12/02/2013;20130212;34.89243;-2.61613;yes;F;adult;1;1;NA
Z153;Hy_056;26/04/2013;20130426;34.82236;-2.47516;yes;X;cub;1;1;about 200m from junction Seronera
Z154;Hy_057;01/06/2013;20130602;34.8201;-2.3828;yes;X;adult;1;1;NA
Z155;Hy_058;08/12/2013;20131209;34.82494;-2.36603;yes;X;subadult;0.75;1;50 from main road to Mugumu
Z156;Hy_059;20/01/2014;20140122;34.92469;-2.6858;yes;F;adult;1;1;simba kopjes
Z157;Hy_060;23/01/2014;20140124;34.70491;-2.50548;yes;F;adult;1;1;Sopa Valley on the way to Soroi 
Z159;Hy_061;15/04/2014;20140417;34.98409;-2.80223;yes;X;adult;1;1;Main road north of Naabi 
Z160;Hy_062;08/02/2015;20150208;34.80485;-2.40979;yes;M;adult;1;1;road from Seronera to Nyaraswiga
Z162;Hy_063;15/02/2015;20150215;34.90774;-2.56523;yes;F;adult;1;1;between Gol Kopje and Maasai Kopje on track to plain
Z164;Hy_064;02/06/2015;20150603;34.84782;-2.53079;yes;F;adult;1;1;main road heading towards Arusha
Z165;Hy_065;16/06/2015;20150616;34.80604;-2.43349;yes;M;adult;1;1;main road
Z166;Hy_066;04/08/2015;20150804;34.8328;-2.50231;yes;M;adult;1;1;main road heading towards Arusha
Z171;Hy_067;29/02/2016;20160301;34.81353;-2.52474;yes;F;adult;1;1;main road to Moru coming from Seronera River
Z172;Hy_068;20/05/2016;20160520;34.75315;-2.21081;yes;M;subadult;1;1;NA
Z173;Hy_069;28/05/2016;20160528;34.83763;-2.51072;yes;F;adult;1;1;NA
Z174;Hy_070;01/06/2016;20160601;34.8197;-2.43873;yes;F;adult;1;1;NA
Z175;Hy_071;07/06/2016;20160609;34.83759;-2.48671;yes;M;adult;1;1;N of Moguma hill
Z176;Hy_072;16/06/2016;20160617;34.83732;-2.27885;yes;M;adult;1;1;NA
Z177;Hy_073;24/06/2016;20160624;34.94309;-2.71947;yes;F;adult;1;1;NA
Z178;Hy_074;07/07/2016;20160708;34.8207;-2.4295;no;F;subadult;1;1;100m from junction of campsite road and road from SWRC to Seronera - heading towards Seronera on road  precise location possible
Z179;Hy_075;17/07/2016;20160718;34.8141;-2.5163;yes;F;adult;0.75;0.75;adult female 3 km down road towards Moru K and Sopa lodge from Seronera viewing track 
Z181;Hy_076;16/12/2016;20161216;34.80158;-2.42115;yes;M;subadult;1;1;approximately 80m from Seronera crossing on main road
Z182;Hy_077;07/01/2017;20170107;34.81228;-2.39559;yes;M;adult;1;1;on main road towards Serena lodge/Western corridor
Z183A;Hy_078;12/07/2017;20170712;34.80781;-2.49827;yes;F;adult;1;1;NA
Z183;Hy_079;04/12/2017;20171204;34.95284;-2.73558;yes;M;adult;1;1;main road simba Kopjes
Z185;Hy_080;16/03/2018;20180316;34.82483;-2.48639;yes;F;adult;1;1;NA
Z186;Hy_081;06/07/2018;20180706;34.79251;-2.4108;yes;F;adult;1;1;road towards One Nature Camp
Z187;Hy_082;11/08/2018;20180811;34.79845;-2.42176;yes;X;cub;0.75;1;3m next to road towards One Nature Camp
P518;Hy_083;24/01/2019;20190124;34.85553;-2.54677;yes;F;adult;1;1;NA
Z188;Hy_084;12/04/2019;20190412;34.87321;-2.45566;yes;X;cub;0.5;1;"Observation by Zawadi: dead cub was carried into a thick bush by I849 Cam in Isiaka territory (ca. 350m from Isiaka den) on 20190411 in the afternoon; UTM 36M 0708289 9728428; later cub was eaten probably by I849; infanticide?. lion kill?. road kill?"
Z189;Hy_085;12/07/2019;20190712;34.8133;-2.45135;yes;M;cub;1;1;NA
Z192;Hy_086;15/11/2019;20191115;34.80916;-2.4939;yes;M;adult;1;1;36 M 0701158  9724209 - Seronera area lying on a game drive road leading towards Picnic hill. 
no_name;Hy_087;01/02/2020;20200201;34.81553;-2.4402;yes;X;unknown;1;1;36 M 0701875  9730144 - reportedly hit by a car in Seronera and was lying in a puddle of blood on the side of the main road between the visitor centre and the Bondene turning. It is possible. that the hyena had suffered only relatively minor injuries and had managed to recover from the accident. More likely however. the hyena was not immediately killed by the accident and was able to drag itself away from the road but later succumbed to its injuries 
Z193;Hy_088;16/02/2020;20200216;34.90396;-2.47075;yes;F;adult;1;1;40m from the old isiaka den #687
Z196;Hy_089;16/02/2020;20200216;34.90396001;-2.47075001;yes;F;adult;1;1;40m from the old isiaka den #687
no_name;Hy_090;11/07/2020;20200711;34.86883;-2.45069;yes;X;cub;1;1;game drive roads close to Moses rock. not too far from the TAWIRI research center
